STOCK,P,sig,BUY,Activity,Strength,HIGH,CLOSE,SellAt,HitAt
MDXG,0.8082191780821918,"['0', '0', '0', 'Loss']",Yes,0.25978647686832745,42.0,7.800000190734863,7.579999923706055,7.804594705226081,7.561227329891106
STNG,0.8032786885245902,"['0', 'Gain', 'Gain', 'Loss']",Yes,0.2170818505338078,34.9,54.73500061035156,54.33000183105469,55.27990681902591,54.226923965491075
