Date,Open,High,Low,Close,Adj Close,Volume,Yesterday,MA3,MA6,MA13,MA21
2023-08-18,7.239999771118164,7.480000019073486,7.150000095367432,7.440000057220459,7.440000057220459,477900,7.31,7.37,7.437,7.509,7.599
2023-08-21,7.46999979019165,7.5,7.309999942779541,7.389999866485596,7.389999866485596,428500,7.44,7.38,7.41,7.485,7.589
2023-08-22,7.400000095367432,7.53000020980835,7.329999923706055,7.389999866485596,7.389999866485596,366500,7.39,7.407,7.397,7.458,7.585
2023-08-23,7.380000114440918,7.630000114440918,7.369999885559082,7.590000152587891,7.590000152587891,543000,7.39,7.457,7.413,7.447,7.582
2023-08-24,7.559999942779541,7.579999923706055,7.25,7.260000228881836,7.260000228881836,368500,7.59,7.413,7.397,7.432,7.563
2023-08-25,7.260000228881836,7.5,7.260000228881836,7.400000095367432,7.400000095367432,458200,7.26,7.417,7.412,7.438,7.553
2023-08-28,7.420000076293945,7.519999980926514,7.320000171661377,7.329999923706055,7.329999923706055,282200,7.4,7.33,7.393,7.429,7.523
2023-08-29,7.320000171661377,7.440000057220459,7.289999961853027,7.320000171661377,7.320000171661377,586900,7.33,7.35,7.382,7.408,7.487
2023-08-30,7.260000228881836,7.420000076293945,7.260000228881836,7.360000133514404,7.360000133514404,549300,7.32,7.337,7.377,7.393,7.46
2023-08-31,7.360000133514404,7.46999979019165,7.320000171661377,7.420000076293945,7.420000076293945,1248700,7.36,7.367,7.348,7.389,7.447
2023-09-01,7.46999979019165,7.730000019073486,7.46999979019165,7.679999828338623,7.679999828338623,812100,7.42,7.487,7.418,7.404,7.443
2023-09-05,7.670000076293945,7.71999979019165,7.46999979019165,7.489999771118164,7.489999771118164,495100,7.68,7.53,7.433,7.414,7.432
2023-09-06,7.510000228881836,7.699999809265137,7.349999904632568,7.679999828338623,7.679999828338623,489200,7.49,7.617,7.492,7.442,7.443
2023-09-07,7.679999828338623,7.760000228881836,7.570000171661377,7.650000095367432,7.650000095367432,535800,7.68,7.607,7.547,7.458,7.458
2023-09-08,7.690000057220459,7.96999979019165,7.610000133514404,7.940000057220459,7.940000057220459,519800,7.65,7.757,7.643,7.501,7.482
2023-09-11,7.989999771118164,8.199999809265137,7.889999866485596,8.15999984741211,8.15999984741211,649000,7.94,7.917,7.767,7.56,7.509
2023-09-12,8.15999984741211,8.289999961853027,7.940000057220459,7.949999809265137,7.949999809265137,530400,8.16,8.017,7.812,7.588,7.528
2023-09-13,7.949999809265137,7.960000038146973,7.590000152587891,7.610000133514404,7.610000133514404,402600,7.95,7.907,7.832,7.615,7.534
2023-09-14,7.659999847412109,7.760000228881836,7.639999866485596,7.699999809265137,7.699999809265137,382400,7.61,7.753,7.835,7.638,7.544
2023-09-15,7.710000038146973,7.739999771118164,7.429999828338623,7.539999961853027,7.539999961853027,2358700,7.7,7.617,7.817,7.654,7.553
2023-09-18,7.519999980926514,7.579999923706055,7.400000095367432,7.570000171661377,7.570000171661377,502700,7.54,7.603,7.755,7.673,7.565
2023-09-19,7.570000171661377,7.849999904632568,7.5,7.849999904632568,7.849999904632568,575200,7.57,7.653,7.703,7.711,7.585
2023-09-20,7.840000152587891,8.029999732971191,7.78000020980835,7.78000020980835,7.78000020980835,538400,7.85,7.733,7.675,7.738,7.603
2023-09-21,7.75,7.75,7.570000171661377,7.699999809265137,7.699999809265137,388400,7.78,7.777,7.69,7.74,7.618
2023-09-22,7.650000095367432,7.75,7.510000228881836,7.579999923706055,7.579999923706055,368100,7.7,7.687,7.67,7.747,7.618
2023-09-25,7.659999847412109,7.789999961853027,7.480000019073486,7.710000038146973,7.710000038146973,377800,7.58,7.663,7.698,7.749,7.639
2023-09-26,7.710000038146973,7.980000019073486,7.710000038146973,7.78000020980835,7.78000020980835,888800,7.71,7.69,7.733,7.759,7.657
2023-09-27,7.78000020980835,7.840000152587891,7.570000171661377,7.75,7.75,800700,7.78,7.747,7.717,7.745,7.677
2023-09-28,7.730000019073486,7.800000190734863,7.5,7.579999923706055,7.579999923706055,496600,7.75,7.703,7.683,7.7,7.69
2023-09-29,7.599999904632568,7.599999904632568,7.28000020980835,7.28000020980835,7.28000020980835,171093,7.58,7.537,7.613,7.648,7.686
