Date,Open,High,Low,Close,Adj Close,Volume,Yesterday,MA3,MA6,MA13,MA21
2023-08-18,7.300000190734863,7.429999828338623,7.159999847412109,7.320000171661377,7.320000171661377,510300,7.38,7.33,7.227,6.578,6.212
2023-08-21,7.320000171661377,7.409999847412109,7.059999942779541,7.340000152587891,7.340000152587891,636700,7.32,7.347,7.303,6.707,6.302
2023-08-22,7.400000095367432,7.400000095367432,6.96999979019165,7.03000020980835,7.03000020980835,593400,7.34,7.23,7.278,6.82,6.377
2023-08-23,7.110000133514404,7.210000038146973,6.769999980926514,6.809999942779541,6.809999942779541,643800,7.03,7.06,7.195,6.898,6.446
2023-08-24,6.820000171661377,6.829999923706055,6.599999904632568,6.610000133514404,6.610000133514404,520100,6.81,6.817,7.082,6.96,6.495
2023-08-25,6.730000019073486,6.949999809265137,6.579999923706055,6.599999904632568,6.599999904632568,537800,6.61,6.673,6.952,6.995,6.546
2023-08-28,6.599999904632568,6.800000190734863,6.449999809265137,6.800000190734863,6.800000190734863,549000,6.6,6.67,6.865,7.042,6.598
2023-08-29,6.75,6.900000095367432,6.570000171661377,6.829999923706055,6.829999923706055,388300,6.8,6.743,6.78,7.029,6.642
2023-08-30,6.840000152587891,7.190000057220459,6.78000020980835,7.170000076293945,7.170000076293945,496500,6.83,6.933,6.803,7.052,6.7
2023-08-31,7.179999828338623,7.190000057220459,6.940000057220459,6.980000019073486,6.980000019073486,537500,7.17,6.993,6.832,7.036,6.763
2023-09-01,7.039999961853027,7.050000190734863,6.880000114440918,6.929999828338623,6.929999828338623,384700,6.98,7.027,6.885,7.007,6.828
2023-09-05,6.920000076293945,6.920000076293945,6.579999923706055,6.579999923706055,6.579999923706055,493500,6.93,6.83,6.882,6.952,6.866
2023-09-06,6.480000019073486,6.699999809265137,6.429999828338623,6.559999942779541,6.559999942779541,322900,6.58,6.69,6.842,6.889,6.901
2023-09-07,6.539999961853027,6.639999866485596,6.440000057220459,6.619999885559082,6.619999885559082,398200,6.56,6.587,6.807,6.835,6.924
2023-09-08,6.619999885559082,6.650000095367432,6.28000020980835,6.300000190734863,6.300000190734863,521100,6.62,6.493,6.662,6.755,6.929
2023-09-11,6.260000228881836,6.389999866485596,6.170000076293945,6.28000020980835,6.28000020980835,985800,6.3,6.4,6.545,6.698,6.895
2023-09-12,6.28000020980835,6.449999809265137,6.190000057220459,6.239999771118164,6.239999771118164,497000,6.28,6.273,6.43,6.654,6.865
2023-09-13,6.230000019073486,6.300000190734863,6.139999866485596,6.210000038146973,6.210000038146973,871100,6.24,6.243,6.368,6.623,6.819
2023-09-14,6.300000190734863,6.389999866485596,5.989999771118164,6.099999904632568,6.099999904632568,449500,6.21,6.183,6.292,6.585,6.761
2023-09-15,6.099999904632568,6.099999904632568,5.920000076293945,5.980000019073486,5.980000019073486,567800,6.1,6.097,6.185,6.522,6.699
2023-09-18,5.980000019073486,6.019999980926514,5.860000133514404,5.949999809265137,5.949999809265137,533800,5.98,6.01,6.127,6.454,6.63
2023-09-19,5.960000038146973,6.21999979019165,5.900000095367432,6.190000057220459,6.190000057220459,635000,5.95,6.04,6.112,6.378,6.577
2023-09-20,6.190000057220459,6.630000114440918,6.190000057220459,6.5,6.5,554000,6.19,6.213,6.155,6.342,6.537
2023-09-21,6.440000057220459,6.570000171661377,6.179999828338623,6.21999979019165,6.21999979019165,847200,6.5,6.303,6.157,6.287,6.498
2023-09-22,6.260000228881836,6.679999828338623,6.150000095367432,6.21999979019165,6.21999979019165,318200,6.22,6.313,6.177,6.259,6.47
2023-09-25,6.230000019073486,6.760000228881836,6.099999904632568,6.590000152587891,6.590000152587891,762700,6.22,6.343,6.278,6.262,6.469
2023-09-26,6.579999923706055,6.829999923706055,6.449999809265137,6.559999942779541,6.559999942779541,838400,6.59,6.457,6.38,6.257,6.467
2023-09-27,6.650000095367432,6.71999979019165,6.46999979019165,6.619999885559082,6.619999885559082,626600,6.56,6.59,6.452,6.282,6.459
2023-09-28,6.650000095367432,6.820000171661377,6.5,6.53000020980835,6.53000020980835,603300,6.62,6.57,6.457,6.301,6.444
2023-09-29,6.579999923706055,6.820000171661377,6.460000038146973,6.590000152587891,6.590000152587891,1483000,6.53,6.58,6.518,6.328,6.417
